Judul,Sinopsis,Genre
Ababil dan Tiga Kitab Iblis - Sebuah Novel,"""... Tiba-tiba dari balik gapura muncul bayangan tiriggi dengan jubah panjang berkibar. Aku terperangah. Sosok itu... raut wajahnya tersamar dalam keremangan, Dia berjalan pelan ke arahku. Lalu perlahan, sinar mentari temaram menyinari setengah wajahnya, mcmbuat garis wajahnya bercahaya, dan sesaat kemudian tampakiah deretan gigi-gigi putih terkuak dari seulas seringai dingin.""Pertemuan aneh di gapura Bajang Ratu antara Bintang dan Ben Portman itu ternyata menjadi awal dari peristiwa-peristiwa menegangkan berikutnya. Bintang adalah seorang wartawan lepas yang sedang mengalami konflik batin setelah dirinya sadar banyak basil karyanya yang meraih berderet penghargaan namun didapatkan melalui cara tidak benar. aat kerusuhan Manggarai pecah, Bintang bertemu dengan Jon, seorang preman penguasa iManggarai. Aksi saling menyelamatkan menyatukan mereka pada jalin persahabatan. Kcduanya pun berusaha hijrah dari masa lalu kelam itu. Secara tak sengaja, Bintang dan Jon direkrut oleh Laskar Ababil, kelompok pembela kebenaran yang berperang melawan Para Pemuja, kelompok pengusung panji-panji kegelapan. Laskar Ababil harus menggagalkan usaha Para Pemuja merebut Kitab Biru, sebuah kitab sumber rahasia kekuatan kegelapan yang diidamkan Ben dan Para Pemuja. Kitab jahat ini tak boleh jatuh di tangan Para Pemuja. Bagaimana pun caranya.",Fantasi
When History Collides - The War an Eclipse,"Stella Lanchaster. seorang gadis masa depan berusia lima belas tahun, bersama teman lucu dan menyenangkan, Galbbie Lamord, tidak sengaja tersesat di zaman sejarah The War and Eclipseyang merupakan sejarah terkelam di Negeri Gonvierra. Di sana, mereka bertemu dengan seorang anak laki-laki dari prajurit Negeri Gonvierra, Wilkins Losard. Mereka juga bertemu salah seorang tokoh sejarah, Pangeran Vladmyre. Di sinilah awal mula petualangan yang seru dan menengangkan! Akankah mereka berhasil berlomba dalam misi pencarian kotak ajaib? Akankah takdir sang keturunan misterius dapat mengubah segalanya?",Fantasi
Vampire Redemption,"Pertemuan Panut William dengan Nyi Blorong telah mengubah hidupnya. Dia yang awalnya anak tukang ojek miskin, kini berubah jadi orang paling kaya sedesanya.Tapi masalah mulai muncul ketika keluarga gebetanya, Rosa maemunah, berbalik jadi miskin. Masalah jadi lebih runyam lagi ketika emak tirinya yang dia jadikan tumbal malah kembali dalam wujud drakula, Akibatnya, Panut harus berurusan dengan dunia dedemit sepenuhnya, termasuk harus menghadapi ribuan kelelawar yang menyerbu desanya. Ternyata Vampire dan kerajaan bisnisnya ada di belakang ini semua.",Fantasi
Magical Seira 4 : Sand Castle,"Tegap berdiri menantang langit Namun luruh cepat disapu air Menyisakan janji keabadian Dalam lorong-lorong yang rapuh. Demi memperbaiki hubungan dengan Bunda, Seira ikut menghadiri soiree untuk penggalangan dana yang diadakan keluarga Hanafiah dan bertemu Cokro Diego alias Chiko si womanizer, pemuda yang mendadak jadi perbincangan semua orang setelah berhasil selamat dari kecelakaan pesawat terbang di atas Samudra Atlantik. Bersamaan dengan itu, Seira juga merasakan sensasi demi sensasi aneh yang mengingatkannya akan Madriva. Seira jadi berhati-hati terhadap kedekatannya dengan Chiko Hanafiah dan bertanya-tanya: siapa sebenarnya laki-laki ini? Mungkinkah selamatnya Chiko dari kecelakaan tersebut berkaitan dengan badai pasir yang belakangan sering terjadi?",Fantasi
Tiga Dunia: Si Pencuri,"Ini kisah tentang Neena, manusia yang bisa bernapas di dalam air. Datan Woudward berumur 7 tahun ketika dirinya bertemu Ana. Sosok yang kemunculannya seketika merobohkan seluruh pengunjung pasar malam. Ana ternyata seorang Royan. Pencuri dan pembunuh elit dunia. Datan menyimpan obsesi sejak pertemuan itu. Dia ingin bertemu lagi dengan Ana, dan bercita-cita menjadi Royan. Ayah menentang sengit. Di usia ke-22, Datan memilih meninggalkan rumah dan bergabung dengan Persaudaraan Royan. Dia mengemban tugas pertama mencuri Permata Zu yang misterius, dan membuatnya bertemu Nymeria. Nymeria mencengkeram kebebasan Datan. Dia menginginkan sesuatu dari Datan. Nymeria merampas hal paling berharga yang pernah Datan miliki.",Fantasi
Legacy,"Valerie mencoba menolak statusnya sebagai seorang Legacy. Selama 15 tahun neneknya menyembunyikan nama keluarga mereka, membuat semua orang berpikir klan Traviaz sudah punah bersama kematian ibunya. Kini ia harus hidup dengan semua yang ia benci dari seorang Legacy: perhatian publik, segala perlakuan istimewa, status sosial dan kedekatan dengan keluarga kerajaan. Bahkan saat upacara penobatannya sebagai seorang Legacy yang siap bertugas, ia masih ragu untuk mengucapkan sumpah setia atau lebih tepat disebut sumpah mati untuk melindungi keluarga kerajaan",Fantasi
Beast Taruna Kebangkitan,"Lupakan sejarah Yang kau ketahui. Jerman Nazi dan Kekaisaran Jepang telah memenagkan Perang Dunia II. Dua dekade telah berlalu sejak keruntuhan demokrasi di bawah bendera swastika dan matahari terbit. Peselisihan negara-negara adidaya yang mabuk kekuasaan mulai terjadi. Enam milyar penduduk dunia kini dalam bayang-bayang ancaman perang nuklir. Tragedi yang menimpa keluarga memaksa kazuki Yudhistira pindah ke Kota baru, Sekolah baru, dan kehidupan baru. Semua tampak akan membaik, namun tidak semua seperti yang ia kira. Kelima teman barunya ternyata BeastTaruna, Tim pahlawan super yang melindungi kota dari serangan makhluk mengerikan. Ketika salah satu dari mereka terluka, Kazuki terseret ke dalam perang yang tidak ia mengerti. Kini, Kazuki harus belajar menjalani kehidupan ganda, dan melakukannya selagi mencegah rencana seekor monster yang ingin menguasai dunia.",Fantasi
Dharitri,"Pada tahun 2279, seratus lima puluh tahun setelah Perang Dunia III meletus, sisa umat manusia dikumpulkan dalam naungan Dunia Baru berbasis Persatuan Unit. Dunia Baru tersebut diyakini sebagai dunia yang lebih baik bagi sisa umat manusia di Bumi. Pernyataan itu rupanya tidak berlaku bagi Ranala Kalindra. Ranala yang berusaha kabur dari Persatuan Unit mengalami kecelakaan hingga terdampar di sebuah negeri asing bernama Dharitri dan bertemu dengan makhluk hibrida yang diberi nama Lal. Ranala merasa menemukan rumah baru, yang membuatnya harus menyembunyikan identitasnya sebagai penduduk Persatuan Unit. Ranala mengubah namanya menjadi Aran lalu bergabung dengan Adhyasta hibrida, pasukan elit Bala Karta yang menangani makhluk hibrida. Namun, ada seseorang yang mengetahui identitas ali Aran. Seseorang yang selalu mengawasi Aran dan menunggu saat yang tepat untuk menyingkirkan",Fantasi
The Hades Project,"Ditempa oleh generasi ketujuh keturunan Adam, digunakan untuk menembus Kristus saat Penyaliban, dan dimiliki oleh sejumlah tokoh sangat kuat dalam sejarah--Konstantinus, Attila Hun, Karel yang Agung, Adolf Hitler, Harry Truman--sebuah peninggalan kuno bernama Tombak Suci akan digunakan lagi. Kali ini, Forces of Evil berniat menggunakannya untuk meluncurkan sebuah proyek dahsyat, Proyek Hades, demi hasrat menguasai umat manusia. Dari terowongan rahasia di bawah Kremlin, Arsip Rahasia Vatikan, hingga ruang harta karun penuh penjaga di gereja Ethiopia yang menjadi rumah bagi Tabut Perjanjian, Cotten Stone, sang putri malaikat, beradu cepat untuk menemukan Tombak Suci agar benda kuno itu tak jatuh ke tangan musuh bebuyutannya, Putra Sang Fajar. Benda kuno itu sendiri terbuat dari unsur paling langka di bumi, bahan yang dibutuhkan untuk menghidupkan Proyek Hades. Waktu berjalan cepat, dan Cotten menghadapi sosok misterius yang ditangannya tergenggam nasib dunia, seorang pria yang telah meninggal lebih dari 85 tahun silam. The Hades Project merupakan thriller yang diracik dengan bumbu-bumbu dogma keagamaan. Ditulis dengan sangat halus dan berplot bolak-balik, novel memikat ini akan menyeret Anda ke dalam lorong penuh intrik dan ketegangan, dan menuntun Anda menyelami hal-hal yang tak pernah terbayangkan.",Fantasi
Armageddon Knights Born of the Knight - Lahirnya Sang Ksatria,"Hari bencana mendekat Berlaksa pasukan maut menderu di lembah-lembah... Lesu...tak bergairah...putus asa... Kekuatan para pahlawan sudah lenyap Sudah hilang kisah-kisah kepahlawanan itu Ditutupi debu benteng yang telah porak poranda Bencana menanti di depan pintu gerbang Dan maut menantikan saat kemenangan Kemalangan berjalan di dalam tembok-tembok kota Di Pergamus akan terdengar jeritan Di Beth-Rappa terdengar tangisan Sudah hancur, sudah hancur Kesombongan yang dibangun dari batu-batu itu Sampai suatu masa, tiada terdengar lagi namamu Hai kota pahlawan yang terpecah-pecah Keberanian akan terlupakan Kisah kepahlawanan takkan lagi diingat Tiada lagi yang menceritakannya Baik dalam tawa kemenangan atau getaran perasaan Karena ini adalah... Armageddon, perang yang terakhir!!!",Fantasi
